QuestionNum,Question,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Answer,Explaination,ImageUrl,QuizCode,QuizTitle,QuizDescription
48,A company has on-premises servers running a relational database. The current database serves high read traffic for users in different locations. The company wants to migrate to AWS with the least amount of effort. The database solution should support disaster recovery and not affect the company's current traffic flow. Which solution meets these requirements?,Use a database in Amazon RDS with Multi-AZ and at least one read replica,Use a database in Amazon RDS with Multi-AZ and at least one standby replica,Use databases hosted on multiple Amazon EC2 instances in different AWS Regions,Use databases hosted on Amazon EC2 instances behind an Application Load Balancer in different Availability Zones,,A,https://aws.amazon.com/blogs/database/implementing-a-disaster-recovery-strategy-with-amazon-rds/,,,,
49,A media streaming company collects real-time data and stores it in a disk-optimized database system. The company is not getting the expected throughput and wants an in-memory database storage solution that performs faster and provides high availability using data replication. Which database should a solutions architect recommend'?,Amazon RDS for MySQL,Amazon RDS for PostgreSQL,Amazon ElastiCache for Redis,Amazon ElastiCache for Memcached,,C,,,,,
50,"A company's application is running on Amazon EC2 instances within an Auto Scaling group behind an Elastic Load Balancer. Based on the application's history, the company anticipates a spike in traffic during a holiday each year. A solutions architect must design a strategy to ensure that the Auto Scaling group proactively increases capacity to minimize any performance impact on application users. Which solution will meet these requirements?",Create an Amazon CloudWatch alarm to scale up the EC2 instances when CPU utilization exceeds 90%,Create a recurring scheduled action to scale up the Auto Scaling group before the expected period of peak demand,Increase the minimum and maximum number of EC2 instances in the Auto Scaling group during the peak demand period,Configure an Amazon Simple Notification Service (Amazon SNS) notification to send alerts when there are auto scaling EC2_INSTANCE_LAUNCH events,,D,https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-dg.pdf ,,,,
51,A company has a two-tier application architecture that runs in public and private subnets Amazon EC2 instances running the web application are in the public subnet and a database runs on the private subnet. The web application instances and the database are running in a single Availability Zone (AZ). Which combination of steps should a solutions architect take to provide high availability for this architecture? (Select TWO.),Create new public and private subnets in the same AZ for high availability,Create an Amazon EC2 Auto Scaling group and Application Load Balancer spanning multiple AZs,Add the existing web application instances to an Auto Scaling group behind an Application Load Balancer,Create new public and private subnets in a new AZ Create a database using Amazon EC2 in one AZ,Create new public and private subnets in the same VPC each in a new AZ Migrate the database to an Amazon RDS multi-AZ deployment,B E,You would the EC2 instances to have high availability by placing them in multiple AZs.,,,,
52,A financial services company has a web application that serves users in the United States and Europe. The application consists of a database tier and a web server tier. The database tier consists of a MySQL database hosted in us-east-1 Amazon Route 53 geoproximity routing is used to direct traffic to instances in the closest Region. A performance review of the system reveals that European users are not receiving the same level of query performance as those in the United States. Which changes should be made to the database tier to improve performance?,Migrate the database to Amazon RDS for MySQL. Configure Multi-AZ in one of the European Regions. ,Migrate the database to Amazon DynamoDB. Use DynamoDB global tables to enable replication to additional Regions. ,Deploy MySQL instances in each Region. Deploy an Application Load Balancer in front of MySQL to reduce the load on the primary instance. ,Migrate the database to an Amazon Aurora global database in MySQL compatibility mode. Configure read replicas in one of the European Regions. ,,D,,,,,
53,A solutions architect is tasked with transferring 750 TB of data from a network-attached file system located at a branch office to Amazon S3 Glacier. The solution must avoid saturating the branch office's low-bandwidth internet connection. What is the MOST cost-effective solution1?,Create a site-to-site VPN tunnel to an Amazon S3 bucket and transfer the files directly. Create a bucket policy to enforce a VPC endpoint.,Order 10 AWS Snowball appliances and select an S3 Glacier vault as the destination. Create a bucket policy to enforce a VPC endpoint.,Mount the network-attached file system to Amazon S3 and copy the files directly. Create a lifecycle policy to transition the S3 objects to Amazon S3 Glacier.,Order 10 AWS Snowball appliances and select an Amazon S3 bucket as the destination. Create a lifecycle policy to transition the S3 objects to Amazon S3 Glacier.,,D,,,,,
54,A company's production application runs online transaction processing (OLTP) transactions on an Amazon RDS MySQL DB instance. The company is launching a new reporting tool that will access the same data. The reporting tool must be highly available and not impact the performance of the production application. How can this be achieved'?,Create hourly snapshots of the production RDS DB instance. ,Create a Multi-AZ RDS Read Replica of the production RDS DB instance. ,Create multiple RDS Read Replicas of the production RDS DB instance. Place the Read Replicas in an Auto Scaling group. ,Create a Single-AZ RDS Read Replica of the production RDS DB instance. Create a second Single-AZ RDS Read Replica from the replica. ,,B,https://aws.amazon.com/blogs/database/best-storage-practices-for-running-production-workloadson- hosted-databases-with-amazon-rds-or-amazon- ec2/ ,,,,
55,"A company allows its developers to attach existing 1AM policies to existing 1AM roles to enable faster experimentation and agility. However the security operations team is concerned that the developers could attach the existing administrator policy, which would allow the developers to circumvent any other security policies. How should a solutions architect address this issue?",Create an Amazon SNS topic to send an alert every time a developer creates a new policy,Use service control policies to disable IAM activity across all accounts in the organizational unit,Prevent the developers from attaching any policies and assign all 1AM duties to the security operations team,Set an IAM permissions boundary on the developer 1AM role that explicitly denies attaching the administrator policy,,C,,,,,
56,A user is storing a large number of objects on AWS S3. The user wants to implement the search functionality among the objects. How can the user achieve this?,Use the indexing feature of S3.,Tag the objects with the metadata to search on that.,Use the query functionality of S3.,Make your own DB system which stores the S3 metadata for the search functionality.,,D,"In Amazon Web Services, AWS S3 does not provide any query facility. To retrieve a specific object the user needs to know the exact bucket / object key. In this case it is recommended to have an own DB system which manages the S3 metadata and key mapping. Reference: http://media.amazonwebservices.com/AWS_Storage_Options.pdf",,,,
57,"After setting up a Virtual Private Cloud (VPC) network, a more experienced cloud engineer suggests that to achieve low network latency and high network throughput you should look into setting up a placement group. You know nothing about this, but begin to do some research about it and are especially curious about its limitations. Which of the below statements is wrong in describing the limitations of a placement group?","Although launching multiple instance types into a placement group is possible, this reduces the likelihood that the required capacity will be available for your launch to succeed.",A placement group can span multiple Availability Zones.,You can't move an existing instance into a placement group.,A placement group can span peered VPCs,,B,"A placement group is a logical grouping of instances within a single Availability Zone. Using placement groups enables applications to participate in a low-latency, 10 Gbps network. Placement groups are recommended for applications that benefit from low network latency, high network throughput, or both. To provide the lowest latency, and the highest packet-per-second network performance for your placement group, choose an instance type that supports enhanced networking. Placement groups have the following limitations: The name you specify for a placement group a name must be unique within your AWS account. A placement group can't span multiple Availability Zones. Although launching multiple instance types into a placement group is possible, this reduces the likelihood that the required capacity will be available for your launch to succeed. We recommend using the same instance type for all instances in a placement group. You can't merge placement groups. Instead, you must terminate the instances in one placement group, and then relaunch those instances into the other placement group. A placement group can span peered VPCs; however, you will not get full- bisection bandwidth between instances in peered VPCs. For more information about VPC peering connections, see VPC Peering in the Amazon VPC User Guide. You can't move an existing instance into a placement group. You can create an AMI from your existing instance, and then launch a new instance from the AMI into a placement group. Reference: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/placement-groups.html",,,,
58,What is a placement group in Amazon EC2?,It is a group of EC2 instances within a single Availability Zone.,It the edge location of your web content.,It is the AWS region where you run the EC2 instance of your web content.,It is a group used to span multiple Availability Zones.,,A,A placement group is a logical grouping of instances within a single Availability Zone. Reference: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/placement-groups.html,,,,
59,You are migrating an internal server on your DC to an EC2 instance with EBS volume. Your server disk usage is around 500GB so you just copied all your data to a 2TB disk to be used with AWS Import/Export. Where will the data be imported once it arrives at Amazon?,to a 2TB EBS volume,to an S3 bucket with 2 objects of 1TB,to an 500GB EBS volume,to an S3 bucket as a 2TB snapshot,,B,"An import to Amazon EBS will have different results depending on whether the capacity of your storage device is less than or equal to 1 TB or greater than 1 TB. The maximum size of an Amazon EBS snapshot is 1 TB, so if the device image is larger than 1 TB, the image is chunked and stored on Amazon S3. The target location is determined based on the total capacity of the device, not the amount of data on the device. Reference: http://docs.aws.amazon.com/AWSImportExport/latest/DG/Concepts.html",,,,
60,"A client needs you to import some existing infrastructure from a dedicated hosting provider to AWS to try and save on the cost of running his current website. He also needs an automated process that manages backups, software patching, automatic failure detection, and recovery. You are aware that his existing set up currently uses an Oracle database. Which of the following AWS databases would be best for accomplishing this task?",Amazon RDS,Amazon Redshift,Amazon SimpleDB,Amazon ElastiCache,,A,"Amazon RDS gives you access to the capabilities of a familiar MySQL, Oracle, SQL Server, or PostgreSQL database engine. This means that the code, applications, and tools you already use today with your existing databases can be used with Amazon RDS. Amazon RDS automatically patches the database software and backs up your database, storing the backups for a user- defined retention period and enabling point-in-time recovery. Reference: http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html",,,,
61,"True or false: A VPC contains multiple subnets, where each subnet can span multiple Availability Zones.",This is true only if requested during the set-up of VPC.,This is true.,This is false.,This is true only for US regions.,,C,"A VPC can span several Availability Zones. In contrast, a subnet must reside within a single Availability Zone. Reference: https://aws.amazon.com/vpc/faqs/",,,,
62,An edge location refers to which Amazon Web Service?,An edge location is refered to the network configured within a Zone or Region,An edge location is an AWS Region,An edge location is the location of the data center used for Amazon CloudFront.,An edge location is a Zone within an AWS Region,,C,"Amazon CloudFront is a content distribution network. A content delivery network or content distribution network (CDN) is a large distributed system of servers deployed in multiple data centers across the world. The location of the data center used for CDN is called edge location. Amazon CloudFront can cache static content at each edge location. This means that your popular static content (e.g., your site's logo, navigational images, cascading style sheets, JavaScript code, etc.) will be available at a nearby edge location for the browsers to download with low latency and improved performance for viewers. Caching popular static content with Amazon CloudFront also helps you offload requests for such files from your origin sever - CloudFront serves the cached copy when available and only makes a request to your origin server if the edge location receiving the browser's request does not have a copy of the file. Reference: http://aws.amazon.com/cloudfront/",,,,
63,Which of the following statements is true in regards to ElasticCache?,You are looking at ways to improve some existing infrastructure as it seems a lot of engineering resources are being taken up with basic management and monitoring tasks and the costs seem to be excessive. You are thinking of deploying Amazon ElasticCache to help. Which of the following statements is true in regards to ElasticCache?,You can improve load and response times to user actions and queries however the cost associated with scaling web applications will be more.,You can't improve load and response times to user actions and queries but you can reduce the cost associated with scaling web applications.,You can improve load and response times to user actions and queries however the cost associated with scaling web applications will remain the same.,You can improve load and response times to user actions and queries and also reduce the cost associated with scaling web applications.,D,"Amazon ElastiCache is a web service that makes it easy to deploy and run Memcached or Redis protocol-compliant server nodes in the cloud. Amazon ElastiCache improves the performance of web applications by allowing you to retrieve information from a fast, managed, in-memory caching system, instead of relying entirely on slower disk-based databases. The service simplifies and offloads the management, monitoring and operation of in-memory cache environments, enabling your engineering resources to focus on developing applications. Using Amazon ElastiCache, you can not only improve load and response times to user actions and queries, but also reduce the cost associated with scaling web applications. Reference: https://aws.amazon.com/elasticache/faqs/",,,,
64,Do Amazon EBS volumes persist independently from the running life of an Amazon EC2 instance?,"Yes, they do but only if they are detached from the instance.","No, you cannot attach EBS volumes to an instance.","No, they are dependent.","Yes, they do.",,D,"An Amazon EBS volume behaves like a raw, unformatted, external block device that you can attach to a single instance. The volume persists independently from the running life of an Amazon EC2 instance. Reference: http://docs.amazonwebservices.com/AWSEC2/latest/UserGuide/Storage.html",,,,
65,Your supervisor has asked you to build a simple file synchronization service for your department. He doesn't want to spend too much money and he wants to be notified of any changes to files by email. What do you think would be the best Amazon service to use for the email solution?,Amazon SES,Amazon CloudSearch,Amazon SWF,Amazon AppStream,,A,"File change notifications can be sent via email to users following the resource with Amazon Simple Email Service (Amazon SES), an easy-to-use, cost- effective email solution. Reference: http://media.amazonwebservices.com/architecturecenter/AWS_ac_ra_filesync_08.pdf",,,,
66,A product team is creating a new application that will store a large amount of data. The data will be analyzed hourly and modified by multiple Amazon EC2 Linux instances.The application team believes the amount of space needed will continue to grow for the next 6 months. Which set of actions should a solutions architect take to support these needs'?,Store the data in an Amazon EBS volume. Mount the EBS volume on the application instances,Store the data in an Amazon EFS file system. Mount the file system on the application instances.,Store the data in Amazon S3 Glacier. Update the vault policy to allow access to the application instances.,Store the data in Amazon S3 Standard-Infrequent Access (S3 Standard-IA). Update the bucket policy to allow access to the application instances.,,B,,,,,
67,A gaming company has multiple Amazon EC2 instances in a single Availability Zone for its multiplayer game that communicates with users on Layer 4. The chief technology officer (CTO) wants to make the architecture highly available and cost-effective. What should a solutions architect do to meet these requirements? (Select TWO.),Increase the number of EC2 instances.,Decrease the number of EC2 instances,Configure a Network Load Balancer in front of the EC2 instances.,Configure an Application Load Balancer in front of the EC2 instances,Configure an Auto Scaling group to add or remove instances in multiple Availability Zones automatically.,C E,,,,,
68,A company hosts an application on multiple Amazon EC2 instances. The application processes messages from an Amazon SQS queue writes to an Amazon RDS table and deletes the message from the queue Occasional duplicate records are found in the RDS table. The SQS queue does not contain any duplicate messages. What should a solutions archived do to ensure messages are being processed once only?,Use the CreateQueue API call to create a new queue,Use the AddPermission API call to add appropriate permissions,Use the ReceiveMessage API call to set an appropriate wait time.,Use the ChangeMessageVisibility API call to increase the visibility timeout,,A,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/FIFO-queues.html#FIFO-queues-exactly-once-processing ,,,,
69,"A solutions architect is designing an application for a two-step order process. The first step is synchronous and must return to the user with little latency. The second step takes longer, so it will be implemented in a separate component Orders must be processed exactly once and in the order in which they are received. How should the solutions architect integrate these components?",Use Amazon SQS FIFO queues.,Use an AWS Lambda function along with Amazon SQS standard queues,Create an SNS topic and subscribe an Amazon SQS FIFO queue to that topic,Create an SNS topic and subscribe an Amazon SQS Standard queue to that topic.,,C,https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/FIFOqueues.Html,,,,
70,A solutions architect is designing a high performance computing (HPC) workload on Amazon EC2. The EC2 instances need to communicate to each other frequently and require network performance with low latency and high throughput. Which EC2 configuration meets these requirements?,Launch the EC2 instances in a cluster placement group in one Availability Zone,Launch the EC2 instances in a spread placement group in one Availability Zone,Launch the EC2 instances in an Auto Scaling group in two Regions and peer the VPCs,Launch the EC2 instances in an Auto Scaling group spanning multiple Availability Zones,,A,,,,,
71,"A company is planning to use Amazon S3 lo store images uploaded by its users. The images must be encrypted at rest in Amazon S3. The company does not want to spend time managing and rotating the keys, but it does want to control who can access those keys. What should a solutions architect use to accomplish this?",Server-Side Encryption with keys stored in an S3 bucket,Server-Side Encryption with Customer-Provided Keys (SSE-C),Server-Side Encryption with Amazon S3-Managed Keys (SSE-S3),Server-Side Encryption with AWS KMS-Managed Keys (SSE-KMS),,C,,,,,
72,An Amazon EC2 administrator created the following policy associated with an 1AM group containing several users. What is the effect of this policy?,Users can terminate an EC2 instance in any AWS Region except us-east-1.,Users can terminate an EC2 instance with the IP address 10.100. 1001 in the us-east-1 Region.,Users can terminate an EC2 instance in the us-east-1 Region when the user's source IP is 10.100.100.254.,Users cannot terminate an EC2 instance in the us-east-1 Region when the user's source IP is 10.100.100.254.,,C,,,,,
73,"A company is running an ecommerce application on Amazon EC2. The application consists of a stateless web tier that requires a minimum of 10 instances, and a peak of 250 instances to support the application's usage. The application requires 50 instances 80% of the time. Which solution should be used to minimize costs?",Purchase Reserved Instances to cover 250 instances ,Purchase Reserved Instances to cover 80 instances. Use Spot Instances to cover the remaining instances ,Purchase On-Demand Instances to cover 40 instances. Use Spot Instances to cover the remaining instances ,Purchase Reserved Instances to cover 50 instances. Use On-Demand and Spot Instances to cover the remaining instances ,,D,,,,,
74,Does DynamoDB support in-place atomic updates?,Yes,No,It does support in-place non-atomic updates,It is not defined,,A,DynamoDB supports in-place atomic updates.,,,,
75,Your manager has just given you access to multiple VPN connections that someone else has recently set up between all your company's offices. She needs you to make sure that the communication between the VPNs is secure. Which of the following services would be best for providing a low-cost hub-and-spoke model for primary or backup connectivity between these remote offices?,Amazon CloudFront,AWS Direct Connect,AWS CloudHSM,AWS VPN CloudHub,,D,"If you have multiple VPN connections, you can provide secure communication between sites using the AWS VPN CloudHub. The VPN CloudHub operates on a simple hub-and-spoke model that you can use with or without a VPC. This design is suitable for customers with multiple branch offices and existing Internet connections who would like to implement a convenient, potentially low-cost hub-and-spoke model for primary or backup connectivity between these remote offices. Reference: http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/VPN_CloudHub.html",,,,
76,Amazon EC2 provides a ____. It is an HTTP or HTTPS request that uses the HTTP verbs GET or POST.,web database,.net framework,Query API,C library,,C,Amazon EC2 provides a Query API. These requests are HTTP or HTTPS requests that use the HTTP verbs GET or POST and a Query parameter named Action. Reference: http://docs.aws.amazon.com/AWSEC2/latest/APIReference/making-api-requests.html ,,,,
77,"In Amazon AWS, which of the following statements is true of key pairs?",Key pairs are used only for Amazon SDKs.,Key pairs are used only for Amazon EC2 and Amazon CloudFront.,Key pairs are used only for Elastic Load Balancing and AWS IAM.,Key pairs are used for all Amazon services.,,B,"Key pairs consist of a public and private key, where you use the private key to create a digital signature, and then AWS uses the corresponding public key to validate the signature. Key pairs are used only for Amazon EC2 and Amazon CloudFront. Reference: http://docs.aws.amazon.com/general/latest/gr/aws-sec-cred-types.html",,,,
78,Does Amazon DynamoDB support both increment and decrement atomic operations?,"Only increment, since decrement are inherently impossible with DynamoDB's data model.","No, neither increment nor decrement operations.","Yes, both increment and decrement operations.","Only decrement, since increment are inherently impossible with DynamoDB's data model.",,C,Amazon DynamoDB supports increment and decrement atomic operations. Reference: http://docs.aws.amazon.com/amazondynamodb/latest/developerguide/APISummary.html,,,,
79,"An organization has three separate AWS accounts, one each for development, testing, and production. The organization wants the testing team to have access to certain AWS resources in the production account. How can the organization achieve this?",It is not possible to access resources of one account with another account.,Create the IAM roles with cross account access.,"Create the IAM user in a test account, and allow it access to the production environment with the IAM policy.",Create the IAM users with cross account access.,,B,"An organization has multiple AWS accounts to isolate a development environment from a testing or production environment. At times the users from one account need to access resources in the other account, such as promoting an update from the development environment to the production environment. In this case the IAM role with cross account access will provide a solution. Cross account access lets one account share access to their resources with users in the other AWS accounts. Reference: http://media.amazonwebservices.com/AWS_Security_Best_Practices.pdf",,,,
80,You need to import several hundred megabytes of data from a local Oracle database to an Amazon RDS DB instance. What does AWS recommend you use to accomplish this?,Oracle export/import utilities,Oracle SQL Developer,Oracle Data Pump,DBMS_FILE_TRANSFER,,C,"How you import data into an Amazon RDS DB instance depends on the amount of data you have and the number and variety of database objects in your database. For example, you can use Oracle SQL Developer to import a simple, 20 MB database; you want to use Oracle Data Pump to import complex databases or databases that are several hundred megabytes or several terabytes in size. Reference: http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Oracle.Procedural.Importing.html",,,,
81,A user has created an EBS volume with 1000 IOPS. What is the average IOPS that the user will get for most of the year as per EC2 SLA if the instance is attached to the EBS optimized instance?,950,990,1000,900,,D,"As per AWS SLA if the instance is attached to an EBS-Optimized instance, then the Provisioned IOPS volumes are designed to deliver within 10% of the provisioned IOPS performance 99.9% of the time in a given year. Thus, if the user has created a volume of 1000 IOPS, the user will get a minimum 900 IOPS 99.9% time of the year. Reference: http://aws.amazon.com/ec2/faqs/",,,,
82,You need to migrate a large amount of data into the cloud that you have stored on a hard disk and you decide that the best way to accomplish this is with AWS Import/Export and you mail the hard disk to AWS. Which of the following statements is incorrect in regards to AWS Import/Export?,It can export from Amazon S3,It can Import to Amazon Glacier,It can export from Amazon Glacier.,It can Import to Amazon EBS,,C,AWS Import/Export supports: Import to Amazon S3 Export from Amazon S3 Import to Amazon EBS Import to Amazon Glacier AWS Import/Export does not currently support export from Amazon EBS or Amazon Glacier. Reference: https://docs.aws.amazon.com/AWSImportExport/latest/DG/whatisdisk.html,,,,
83,"You are in the process of creating a Route 53 DNS failover to direct traffic to two EC2 zones. Obviously, if one fails, you would like Route 53 to direct traffic to the other region. Each region has an ELB with some instances being distributed. What is the best way for you to configure the Route 53 health check?",Route 53 doesn't support ELB with an internal health check.You need to create your own Route 53 health check of the ELB,"Route 53 natively supports ELB with an internal health check. Turn ""Evaluate target health"" off and ""Associate with Health Check"" on and R53 will use the ELB's internal health check.",Route 53 doesn't support ELB with an internal health check. You need to associate your resource record set for the ELB with your own health check,"Route 53 natively supports ELB with an internal health check. Turn ""Evaluate target health"" on and ""Associate with Health Check"" off and R53 will use the ELB's internal health check.",,D,"With DNS Failover, Amazon Route 53 can help detect an outage of your website and redirect your end users to alternate locations where your application is operating properly. When you enable this feature, Route 53 uses health checks--regularly making Internet requests to your application's endpoints from multiple locations around the world--to determine whether each endpoint of your application is up or down. To enable DNS Failover for an ELB endpoint, create an Alias record pointing to the ELB and set the ""Evaluate Target Health"" parameter to true. Route 53 creates and manages the health checks for your ELB automatically. You do not need to create your own Route 53 health check of the ELB. You also do not need to associate your resource record set for the ELB with your own health check, because Route 53 automatically associates it with the health checks that Route 53 manages on your behalf. The ELB health check will also inherit the health of your backend instances behind that ELB. Reference: http://aws.amazon.com/about-aws/whats-new/2013/05/30/amazon-route-53-adds-elb- integration-for-dns- failover/",,,,
84,"A user wants to use an EBS-backed Amazon EC2 instance for a temporary job. Based on the input data, the job is most likely to finish within a week. Which of the following steps should be followed to terminate the instance automatically once the job is finished?",Configure the EC2 instance with a stop instance to terminate it.,Configure the EC2 instance with ELB to terminate the instance when it remains idle.,Configure the CloudWatch alarm on the instance that should perform the termination action once the instance is idle.,Configure the Auto Scaling schedule activity that terminates the instance after 7 days.,,C,"Auto Scaling can start and stop the instance at a pre-defined time. Here, the total running time is unknown. Thus, the user has to use the CloudWatch alarm, which monitors the CPU utilization. The user can create an alarm that is triggered when the average CPU utilization percentage has been lower than 10 percent for 24 hours, signaling that it is idle and no longer in use. When the utilization is below the threshold limit, it will terminate the instance as a part of the instance action. Reference: http://docs.aws.amazon.com/AmazonCloudWatch/latest/DeveloperGuide/UsingAlarmActions.html",,,,
85,Which of the following is true of Amazon EC2 security group?,You can modify the outbound rules for EC2-Classic.,You can modify the rules for a security group only if the security group controls the traffic for just one instance.,You can modify the rules for a security group only when a new instance is created.,You can modify the rules for a security group at any time.,,D,"A security group acts as a virtual firewall that controls the traffic for one or more instances. When you launch an instance, you associate one or more security groups with the instance. You add rules to each security group that allow traffic to or from its associated instances. You can modify the rules for a security group at any time; the new rules are automatically applied to all instances that are associated with the security group. Reference: http://docs.amazonwebservices.com/AWSEC2/latest/UserGuide/using-network- security.html",,,,
86,"An Elastic IP address (EIP) is a static IP address designed for dynamic cloud computing. With an EIP, you can mask the failure of an instance or software by rapidly remapping the address to another instance in your account. Your EIP is associated with your AWS account, not a particular EC2 instance, and it remains associated with your account until you choose to explicitly release it. By default how many EIPs is each AWS account limited to on a per region basis?",1,5,Unlimited,10,,B,"By default, all AWS accounts are limited to 5 Elastic IP addresses per region for each AWS account, because public (IPv4) Internet addresses are a scarce public resource. AWS strongly encourages you to use an EIP primarily for load balancing use cases, and use DNS hostnames for all other inter- node communication. If you feel your architecture warrants additional EIPs, you would need to complete the Amazon EC2 Elastic IP Address Request Form and give reasons as to your need for additional addresses. Reference: http://docs.aws.amazon.com/AWSEC2/latest/UserGuide/elastic-ip-addresses- eip.html#using-instance-ad dressing-limit",,,,
87,"An application running on AWS uses an Amazon Aurora Multi-AZ deployment for its database. When evaluating performance metrics, a solutions architect discovered that the database reads are causing high I/O and adding latency to the write requests against the database. What should the solutions architect do to separate the read requests from the write requests?",Enable read-through caching on the Amazon Aurora database,Update the application to read from the Multi-AZ standby instance,Create a read replica and modify the application to use the appropriate endpoint,Create a second Amazon Aurora database and link it to the primary database as a read replica.,,C,https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_ReadRepl.html,,,,
88,An application runs on Amazon EC2 instances across multiple Availability Zones. The instances run in an Amazon EC2 Auto Scaling group behind an Application Load Balancer. The application performs best when the CPU utilization of the EC2 instances is at or near 40%. What should a solutions architect do to maintain the desired performance across all instances m the group?,Use a simple scaling policy to dynamically scale the Auto Scaling group,Use a target tracking policy to dynamically scale the Auto Scaling group,Use an AWS Lambda function to update the desired Auto Scaling group capacity,Use scheduled scaling actions to scale up and scale down the Auto Scaling group,,D,https://docs.aws.amazon.com/autoscaling/application/userguide/application-auto-scalingscheduled-scaling.html,,,,
89,A company runs a multi-tier web application that hosts news content. The application runs on Amazon EC2 instances behind an Application Load Balancer. The instances run in an EC2 Auto Scaling group across multiple Availability Zones and use an Amazon Aurora database. A solutions architect needs to make the application more resilient to periodic increases in request rates. Which architecture should the solutions architect implement? (Select TWO ),Add AWS Shield.,Add Aurora Replicas,Add AWS Direct Connect,Add AWS Global Accelerator.,Add an Amazon CloudFront distribution in front of the Application Load Balancer,D E,,,,,
90,A solutions architect is optimizing a website for an upcoming musical event Videos of the performances will be streamed in real time and then will be available on demand. The event is expected to attract a global online audience. Which service will improve the performance of both the real-time and on-demand streaming?,Amazon CloudFront,AWS Global Accelerator,Amazon Route 53,Amazon S3 Transfer Acceleration,,A,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/on-demand-streaming-video.html,,,,
91,A company serves content to its subscribers across the world using an application running on AWS. The application has several Amazon EC2 instances in a private subnet behind an Application Load Balancer (ALB). Due to a recent change in copyright restrictions the chief information officer (CIO) wants to block access for certain countries. Which action will meet these requirements?,Modify the ALB security group to deny incoming traffic from blocked countries,Modify the security group for EC2 instances to deny incoming traffic from blocked countries,Use Amazon CloudFront to serve the application and deny access to blocked countries,Use ALB listener rules to return access denied responses to incoming traffic from blocked countries,,C,,,,,
92,A manufacturing company wants to implement predictive maintenance on its machinery equipment. The company will install thousands of loT sensors that will send data to AWS in real time. A solutions architect is tasked with implementing a solution that will receive events in an ordered manner for each machinery asset and ensure that data is saved for further processing at a later time. Which solution would be MOST efficient?,Use Amazon Kinesis Data Streams for real-time events with a partition for each equipment asset. Use Amazon Kinesis Data Firehose to save data to Amazon S3.,Use Amazon Kinesis Data Streams for real-time events with a shard for each equipment asset. Use Amazon Kinesis Data Firehose to save data to Amazon EBS.,Use an Amazon SQS FIFO queue for real-time events with one queue for each equipment asset. Trigger an AWS Lambda function for the SQS queue to save data to Amazon EFS.,Use an Amazon SQS standard queue for real-time events with one queue for each equipment asset. Trigger an AWS Lambda function from the SQS queue to save data to Amazon S3.,,A,,,,,
93,"A company has deployed an API in a VPC behind an internet-facing Application Load Balancer (ALB). An application that consumes the API as a client is deployed in a second account in private subnets behind a NAT gateway. When requests to the client application increase, the NAT gateway costs are higher than expected. A solutions architect has configured the ALB to be internal. Which combination of architectural changes will reduce the NAT gateway costs'? (Select TWO )",Configure a VPC peering connection between the two VPCs. Access the API using the private address,Configure an AWS Direct Connect connection between the two VPCs. Access the API using the private address.,Configure a ClassicLink connection for the API into the client VPC. Access the API using the ClassicLink address.,Configure a PrivateLink connection for the API into the client VPC. Access the API using the PrivateLink address.,Configure an AWS Resource Access Manager connection between the two accounts. Access the API using the private address,D E,,,,,
94,"In Amazon EC2, partial instance-hours are billed _____.",per second used in the hour,per minute used,by combining partial segments into full hours,as full hours,,D,Partial instance-hours are billed to the next hour. Reference: http://aws.amazon.com/ec2/faqs/,,,,
95,"In EC2, what happens to the data in an instance store if an instance reboots (either intentionally or unintentionally)?",Data is deleted from the instance store for security reasons.,Data persists in the instance store.,Data is partially present in the instance store.,Data in the instance store will be lost.,,B,"The data in an instance store persists only during the lifetime of its associated instance. If an instance reboots (intentionally or unintentionally), data in the instance store persists. However, data on instance store volumes is lost under the following circumstances. Failure of an underlying drive Stopping an Amazon EBS-backed instance Terminating an instance Reference: http://docs.amazonwebservices.com/AWSEC2/latest/UserGuide/InstanceStorage.html",,,,
